user_id#merchant_id,user_id,merchant_id,age_range,gender
7562#3571,7562,3571,5,0
7562#4784,7562,4784,5,0
7562#3404,7562,3404,5,0
7562#3246,7562,3246,5,0
103815#3172,103815,3172,3,1
52634#794,52634,794,3,1
52634#4449,52634,4449,3,1
24631#4289,24631,4289,5,1
3694#2275,3694,2275,7,0
37792#508,37792,508,2,0
64438#3965,64438,3965,7,1
13299#2409,13299,2409,7,1
103182#2357,103182,2357,5,0
78703#4863,78703,4863,3,0
71484#2454,71484,2454,3,0
61986#3100,61986,3100,5,1
7032#2809,7032,2809,1,0
7032#637,7032,637,1,0
102818#4072,102818,4072,3,1
17364#2459,17364,2459,2,0
53913#3056,53913,3056,1,0
16734#3854,16734,3854,5,0
16734#2454,16734,2454,5,0
100536#4345,100536,4345,2,0
100536#872,100536,872,2,0
7497#2780,7497,2780,1,0
3412#820,3412,820,7,0
92600#741,92600,741,1,0
47205#646,47205,646,1,0
80810#210,80810,210,3,0
72265#4725,72265,4725,1,0
83143#2233,83143,2233,1,0
89236#4780,89236,4780,5,1
89236#3597,89236,3597,5,1
93080#2592,93080,2592,3,0
93080#3945,93080,3945,3,0
1220#4161,1220,4161,3,1
79311#2254,79311,2254,4,0
83548#3587,83548,3587,7,1
83548#2977,83548,2977,7,1
83548#4072,83548,4072,7,1
27311#2459,27311,2459,7,0
97944#3228,97944,3228,1,0
100581#3652,100581,3652,4,1
25005#294,25005,294,1,0
92897#1897,92897,1897,1,0
36365#1472,36365,1472,3,0
7014#1363,7014,1363,2,0
101468#28,101468,28,7,1
1670#3714,1670,3714,4,1
57946#2727,57946,2727,1,0
17064#2561,17064,2561,5,0
7112#2904,7112,2904,1,1
92339#1785,92339,1785,7,0
39417#3965,39417,3965,5,1
39417#1723,39417,1723,5,1
47098#1581,47098,1581,2,1
8276#3131,8276,3131,2,0
31157#1360,31157,1360,1,0
20066#4103,20066,4103,1,0
100196#4691,100196,4691,1,1
90014#451,90014,451,3,0
51479#3859,51479,3859,1,1
105483#1053,105483,1053,2,0
60144#2642,60144,2642,2,0
68364#3080,68364,3080,3,0
59614#1363,59614,1363,2,1
30724#4863,30724,4863,7,0
44922#1733,44922,1733,7,1
100465#2888,100465,2888,4,0
67193#2867,67193,2867,3,0
67193#3123,67193,3123,3,0
67193#3539,67193,3539,3,0
70312#3171,70312,3171,5,0
87075#4271,87075,4271,1,1
87075#2056,87075,2056,1,1
87075#4061,87075,4061,1,1
19316#814,19316,814,4,0
83091#3818,83091,3818,5,1
83091#2437,83091,2437,5,1
83091#1245,83091,1245,5,1
91279#4091,91279,4091,3,1
91279#1396,91279,1396,3,1
95933#4836,95933,4836,2,0
104292#1811,104292,1811,6,0
70219#4072,70219,4072,5,0
89320#2770,89320,2770,1,0
41681#4995,41681,4995,7,0
44711#458,44711,458,3,0
79697#2041,79697,2041,7,0
96293#4782,96293,4782,5,1
61030#1245,61030,1245,2,1
41947#3692,41947,3692,3,1
103257#2290,103257,2290,1,0
11235#1472,11235,1472,3,0
18918#4695,18918,4695,7,0
78493#4330,78493,4330,2,2
54603#2423,54603,2423,7,0
72161#2182,72161,2182,2,0
72161#991,72161,991,2,0
14433#635,14433,635,3,1
68299#332,68299,332,2,0
37608#2806,37608,2806,7,0
35140#1785,35140,1785,4,1
24419#1376,24419,1376,1,1
46345#844,46345,844,4,1
66966#3218,66966,3218,1,0
101433#4072,101433,4072,3,1
101433#4476,101433,4476,3,1
81410#4401,81410,4401,1,0
16727#3067,16727,3067,7,0
40485#4720,40485,4720,7,0
100695#4746,100695,4746,7,0
92173#4449,92173,4449,3,0
35682#2182,35682,2182,2,0
35682#2538,35682,2538,2,0
73808#3976,73808,3976,3,1
73808#1897,73808,1897,3,1
91305#3965,91305,3965,2,0
45600#1769,45600,1769,7,0
79234#3965,79234,3965,4,1
79234#1230,79234,1230,4,1
53927#2275,53927,2275,4,0
91724#3587,91724,3587,2,1
54157#4072,54157,4072,4,0
68406#4145,68406,4145,2,0
64125#3954,64125,3954,1,1
80346#2937,80346,2937,7,0
80346#4271,80346,4271,7,0
16057#4430,16057,4430,1,1
4595#2904,4595,2904,3,0
101814#1284,101814,1284,7,0
91946#4072,91946,4072,4,0
30097#4107,30097,4107,1,1
17191#975,17191,975,2,2
17191#168,17191,168,2,2
17191#716,17191,716,2,2
91580#2988,91580,2988,1,0
34205#1555,34205,1555,7,0
59240#3182,59240,3182,2,1
5958#1940,5958,1940,6,0
7133#2780,7133,2780,4,1
105829#2234,105829,2234,3,0
105829#4709,105829,4709,3,0
94661#1769,94661,1769,3,0
94661#1356,94661,1356,3,0
73839#2409,73839,2409,7,0
103238#3597,103238,3597,3,0
1279#144,1279,144,3,0
60657#658,60657,658,5,0
98864#1729,98864,1729,5,1
24032#2459,24032,2459,5,0
96085#2548,96085,2548,6,1
67401#2541,67401,2541,2,0
5754#4863,5754,4863,4,1
42201#3965,42201,3965,7,0
34770#4956,34770,4956,7,0
19355#901,19355,901,7,0
98127#1897,98127,1897,3,0
64694#4103,64694,4103,7,0
97198#3246,97198,3246,7,1
8030#3246,8030,3246,1,0
60842#1769,60842,1769,7,1
26816#3327,26816,3327,2,1
101111#4982,101111,4982,6,0
21829#3818,21829,3818,5,1
62035#991,62035,991,7,2
100006#2770,100006,2770,3,0
48518#2970,48518,2970,2,1
27679#81,27679,81,2,0
35869#4579,35869,4579,7,0
250#3854,250,3854,7,0
23498#1020,23498,1020,1,0
45006#4574,45006,4574,1,0
28691#351,28691,351,7,1
14309#905,14309,905,4,0
14309#3100,14309,3100,4,0
35319#3692,35319,3692,2,1
51768#2603,51768,2603,1,1
3081#2837,3081,2837,2,2
3081#3965,3081,3965,2,2
68993#1737,68993,1737,5,0
68993#3014,68993,3014,5,0
98825#4926,98825,4926,3,0
11259#4192,11259,4192,7,0
11259#3611,11259,3611,7,0
35056#2591,35056,2591,7,0
61644#1916,61644,1916,5,1
92675#4784,92675,4784,4,0
61535#501,61535,501,2,1
73142#400,73142,400,6,0
103355#2167,103355,2167,3,0
85888#1580,85888,1580,3,1
82668#3246,82668,3246,3,0
40200#270,40200,270,2,0
14878#4005,14878,4005,3,0
59465#4067,59465,4067,1,0
58596#2459,58596,2459,1,0
29083#3925,29083,3925,3,1
29676#210,29676,210,1,0
29676#4667,29676,4667,1,0
41296#252,41296,252,2,0
41296#661,41296,661,2,0
54287#3246,54287,3246,4,1
96805#1940,96805,1940,5,0
96805#44,96805,44,5,0
96805#3800,96805,3800,5,0
96805#270,96805,270,5,0
7393#281,7393,281,3,0
66379#1994,66379,1994,2,0
100244#1018,100244,1018,2,0
15730#2667,15730,2667,7,0
20210#814,20210,814,7,0
55699#1055,55699,1055,7,1
63293#1881,63293,1881,2,0
91583#1149,91583,1149,1,1
57058#4677,57058,4677,4,0
57058#1811,57058,1811,4,0
57333#2409,57333,2409,3,0
57333#1324,57333,1324,3,0
16651#1811,16651,1811,2,0
16651#2614,16651,2614,2,0
46989#144,46989,144,4,0
84561#3692,84561,3692,2,0
13385#189,13385,189,5,0
